group,species,n_cat
Algea,Saccorhiza dermatodea,LC
Algea,Saccorhiza polyschides,LC
Algea,Sahlingia subintegra,LC
Algea,Sargassum muticum,NA
Algea,Scytosiphon lomentaria,LC
Algea,Spermatochnus paradoxus,LC
Algea,Sphacelaria arctica,LC
Algea,Sphacelaria caespitula,LC
Algea,Sphacelaria cirrosa,LC
Algea,Sphacelaria mirabilis,NE
Algea,Sphacelaria nana,NE
Algea,Sphacelaria plumigera,NE
Algea,Sphacelaria plumosa,LC
Algea,Sphacelaria plumula,LC
Algea,Sphacelaria racemosa,NE
Algea,Sphacelaria radicans,LC
Algea,Sphacelaria rigidula,LC
Algea,Sphacelaria tribuloides,NE
Algea,Sphaeroplea annulina,CR
Algea,Sphaerotrichia divaricata,DD
Algea,Spongonema tomentosum,LC
Algea,Sporochnus pedunculatus,NA
Algea,Stictyosiphon arcticus,NE
Algea,Stictyosiphon griffithsianus,NE
Algea,Stictyosiphon lofotensis,NE
Algea,Stictyosiphon soriferus,LC
Algea,Stictyosiphon tortilis,LC
Algea,Stilophora tenella,LC
Algea,Stragularia clavata,LC
Algea,Stragularia pusilla,NE
Algea,Streblonema fasciculatum,NE
Algea,Streblonema infestans,NE
Algea,Streblonema parasiticum,NE
Algea,Streblonema stilophorae,NE
Algea,Streblonema tuberculi,NE
Algea,Streblonema turnerellae,NE
Algea,Streblonema zanardinii,NE
Algea,Striaria attenuata,LC
Algea,Stylonema alsidii,LC
Algea,Symphyocarpus strangulans,NE
Algea,Tilopteris mertensii,LC
Algea,Tolypella nidifica,EN
Algea,Tolypella normaniana,VU
Algea,Ulonema rhizophorum,NE
"Amphibia, Reptilia",Caretta caretta,NA
"Amphibia, Reptilia",Dermochelys coriacea,NA
"Amphibia, Reptilia",Emys orbicularis,NA
"Amphibia, Reptilia",Trachemys scripta,NA
Coleoptera,Macroplea mutica,DD
Mollusca,Abra alba,LC
Mollusca,Abra longicallus,LC
Mollusca,Abra nitida,LC
Mollusca,Abra prismatica,LC
Mollusca,Acanthochitona crinitus,LC
Mollusca,Acanthodoris pilosa,LC
Mollusca,Aclis minor,NE
Mollusca,Aclis sarsi,LC
Mollusca,Aclis walleri,LC
Mollusca,Acteon tornatilis,LC
Mollusca,Adalaria loveni,LC
Mollusca,Adalaria proxima,LC
Mollusca,Admete viridula,LC
Mollusca,Aegires punctilucens,LC
Mollusca,Aeolidia papillosa,LC
Mollusca,Aeolidiella glauca,LC
Mollusca,Aequipecten opercularis,LC
Mollusca,Akera bullata,LC
Mollusca,Aldisa zetlandica,LC
Mollusca,Alexandromenia crassa,NE
Mollusca,Alvania beani,LC
Mollusca,Alvania cimicoides,LC
Mollusca,Alvania jeffreysi,LC
Mollusca,Alvania moerchi,NE
Mollusca,Alvania pseudosyngenes,LC
Mollusca,Alvania punctura,LC
Mollusca,Alvania scrobiculata,LC
Mollusca,Alvania subsoluta,LC
Mollusca,Alvania testae,LC
Mollusca,Alvania verrilli,LC
Mollusca,Alvania zetlandica,LC
Mollusca,Amauropsis islandica,LC
Mollusca,Ammonicera rota,LC
Mollusca,Anamenia borealis,NE
Mollusca,Ancula gibbosa,LC
Mollusca,Angulus tenuis,LC
Mollusca,Anidolyta duebeni,NE
Mollusca,Ansates pellucida,LC
Mollusca,Antalis agilis,LC
Mollusca,Antalis entalis,LC
Mollusca,Antalis occidentalis,LC
Mollusca,Aplysia punctata,LC
Mollusca,Aporrhais pespelecani,LC
Mollusca,Aporrhais serresianus,LC
Mollusca,Arca tetragona,LC
Mollusca,Architeuthis dux,NA
Mollusca,Arctinula greenlandica,LC
Mollusca,Armina loveni,LC
Mollusca,Asperarca nodulosa,LC
Mollusca,Asperspina brambelli,NE
Mollusca,Astarte crebricostata,NE
Mollusca,Axinopsida orbiculata,LC
Mollusca,Axinulus croulinensis,LC
Mollusca,Axinulus eumyarius,LC
Mollusca,Azorinus chamasolen,NA
Mollusca,Barnea candida,LC
Mollusca,Bathyarca glacialis,LC
Mollusca,Bathyarca pectunculoides,LC
Mollusca,Bathycrinicola curta,LC
Mollusca,Bathypolypus arcticus,NA
Mollusca,Bathypolypus bairdii,LC
Mollusca,Bela brachystoma,LC
Mollusca,Bela nebula,LC
Mollusca,Bela powisiana,LC
Mollusca,Berghia norvegica,NE
Mollusca,Beringius turtoni,LC
Mollusca,Bittium reticulatum,LC
Mollusca,Boreocingula castanea,LC
Mollusca,Boreotrophon clathratus,LC
Mollusca,Boreotrophon clavatus,LC
Mollusca,Boreotrophon truncatus,LC
Mollusca,Brachioteuthis riisei,DD
Mollusca,Buccinum humphreysianum,LC
Mollusca,Buccinum hydrophanum,LC
Mollusca,Buccinum kjennerudae,LC
Mollusca,Buccinum nivale,LC
Mollusca,Buccinum scalariforme,NA
Mollusca,Buccinum tumidulum,LC
Mollusca,Buccinum undatum,LC
Mollusca,Buccinum undulatum,NE
Mollusca,Bulbus smithi,LC
Mollusca,Cadlina laevis,LC
Mollusca,Cadulus jeffreysi,NE
Mollusca,Cadulus propinquus,LC
Mollusca,Cadulus subfusiforme,LC
Mollusca,Caecum glabrum,LC
Mollusca,Calliostoma occidentale,LC
Mollusca,Calliostoma zizyphinus,LC
Mollusca,Callochiton septemvalvis,LC
Mollusca,Calma glaucoides,NE
Mollusca,Calycidoris guentheri,NE
Mollusca,Capulus ungaricus,LC
Mollusca,Cardiomya costellata,LC
Mollusca,Cardiomya curta,NA
Mollusca,Cerithiopsis barleei,NE
Mollusca,Cerithiopsis tubercularis,LC
Mollusca,Chaetoderma intermedium,NE
Mollusca,Chaetoderma nitidulum,NE
Mollusca,Chamelea striatula,LC
Mollusca,Chlamys islandica,LC
Mollusca,Chlamys sulcata,LC
Mollusca,Chlamys varia,LC
Mollusca,Chrysallida bjoernssoni,RE
Mollusca,Chrysallida brattstroemi,LC
Mollusca,Chrysallida eximia,LC
Mollusca,Chrysallida hoeisaeteri,NE
Mollusca,Chrysallida indistincta,LC
Mollusca,Chrysallida interstincta,LC
Mollusca,Chrysallida nivosa,DD
Mollusca,Chrysallida pellucida,LC
Mollusca,Cima inconspiqua,LC
Mollusca,Cima minima,NA
Mollusca,Cingula trifasciata,LC
Mollusca,Circomphalus casina,LC
Mollusca,Circulus sarsi,NE
Mollusca,Clausinella fasciata,LC
Mollusca,Clelandella miliaris,LC
Mollusca,Cochlodesma praetenue,LC
Mollusca,Colga pacifica,LC
Mollusca,Colga villosa,NE
Mollusca,Colobocephalus costellatus,NE
Mollusca,Colpodaspis pusilla,LC
Mollusca,Colus gracilis,LC
Mollusca,Colus holboelli,LC
Mollusca,Colus islandicus,LC
Mollusca,Colus latericeus,LC
Mollusca,Colus verkruezeni,LC
Mollusca,Corbula gibba,LC
Mollusca,Crenella decussata,LC
Mollusca,Crepidula fornicata,NA
Mollusca,Cryptonatica affinis,LC
Mollusca,Cryptonatica bathybii,LC
Mollusca,Cumanotus beaumonti,NE
Mollusca,Curveulima macrophthalmica,LC
Mollusca,Cuspidaria arctica,LC
Mollusca,Cuspidaria centobi,LC
Mollusca,Cuspidaria cuspidata,LC
Mollusca,Cuspidaria glacialis,LC
Mollusca,Cuspidaria lamellosa,LC
Mollusca,Cuspidaria obesa,LC
Mollusca,Cuspidaria rostrata,LC
Mollusca,Cuspidaria subtorta,LC
Mollusca,Cuthona caerulea,LC
Mollusca,Cuthona distans,NE
Mollusca,Cuthona foliata,LC
Mollusca,Cuthona gymnota,LC
Mollusca,Cuthona nana,LC
Mollusca,Cuthona norvegica,NE
Mollusca,Cuthona pustulata,LC
Mollusca,Cuthona rubescens,NE
Mollusca,Cuthona viridis,LC
Mollusca,Cylichna alba,LC
Mollusca,Cylichna cylindracea,LC
Mollusca,Cylichna occulta,LC
Mollusca,Dacrydium ockelmanni,LC
Mollusca,Dacrydium vitreum,LC
Mollusca,Danilia tinei,LC
Mollusca,Delectopecten vitreus,LC
Mollusca,Dendronotus frondosus,LC
Mollusca,Dendronotus robustus,LC
Mollusca,Dermatobranchus walteri,NE
Mollusca,Devonia perrieri,LC
Mollusca,Diaphana globosa,LC
Mollusca,Diaphana hiemalis,LC
Mollusca,Diaphana minuta,LC
Mollusca,Doridoxa ingolfiana,NE
Mollusca,Doridunculus echinulatus,NE
Mollusca,Doris pseudoargus,LC
Mollusca,Dorymenia sarsii,NE
Mollusca,Dosinia exoleta,LC
Mollusca,Dosinia lupinus,LC
Mollusca,Doto coronata,LC
Mollusca,Doto crassicornis,NE
Mollusca,Doto cuspidata,LC
Mollusca,Doto fragilis,LC
Mollusca,Doto koenneckeri,NE
Mollusca,Drepanomenia incrustata,NE
Mollusca,Ebala nitidissima,LC
Mollusca,Eledone cirrhosa,LC
Mollusca,Eleutheromenia sierra,NE
Mollusca,Emarginula crassa,LC
Mollusca,Emarginula fissura,LC
Mollusca,Embletonia pulchra,NE
Mollusca,Ennucula corticata,LC
Mollusca,Ennucula tenuis,LC
Mollusca,Entalina tetragona,LC
Mollusca,Enteroxenos oestergreni,LC
Mollusca,Entonomenia microporata,NE
Mollusca,Epilepton clarkiae,NA
Mollusca,Epitonium clathratulum,DD
Mollusca,Epitonium clathrus,LC
Mollusca,Epitonium greenlandicum,LC
Mollusca,Epitonium trevelyanum,LC
Mollusca,Epitonium turtonis,DD
Mollusca,Erginus rubellus,LC
Mollusca,Eubranchus exiguus,LC
Mollusca,Eubranchus farrani,LC
Mollusca,Eubranchus pallidus,LC
Mollusca,Eubranchus tricolor,LC
Mollusca,Eubranchus vittatus,NE
Mollusca,Eulima bilineata,LC
Mollusca,Eulimella acicula,LC
Mollusca,Eulimella ataktos,NE
Mollusca,Eulimella compactilis,LC
Mollusca,Eulimella scillae,LC
Mollusca,Eulimella ventricosa,LC
Mollusca,Eumetula arctica,LC
Mollusca,Euspira montagui,LC
Mollusca,Euspira pallida,LC
Mollusca,Euspira pulchella,LC
Mollusca,Fabulina fabula,LC
Mollusca,Facelina bostoniensis,LC
Mollusca,Facelina coronata,LC
Mollusca,Falcidens crossotus,NE
Mollusca,Falcidens sagittiferus,NE
Mollusca,Falcidens sterreri,NE
Mollusca,Favorinus blianus,LC
Mollusca,Favorinus branchialis,LC
Mollusca,Fissurisepta granulosa,LC
Mollusca,Flabellina borealis,LC
Mollusca,Flabellina gracilis,LC
Mollusca,Flabellina lineata,LC
Mollusca,Flabellina nobilis,LC
Mollusca,Flabellina pedata,LC
Mollusca,Flabellina pellucida,LC
Mollusca,Flabellina salmonacea,LC
Mollusca,Flabellina verrucosa,LC
Mollusca,Frigidoalvania janmayeni,LC
Mollusca,Gari costulata,LC
Mollusca,Geitodoris planata,LC
Mollusca,Genitoconia atriolonga,NE
Mollusca,Genitoconia rosea,NE
Mollusca,Gibbula cineraria,LC
Mollusca,Gibbula tumida,LC
Mollusca,Glycymeris glycymeris,LC
Mollusca,Gonatus fabricii,LC
Mollusca,Gonatus steenstrupi,LC
Mollusca,Goniaeolis typica,NE
Mollusca,Goniodoris nodosa,LC
Mollusca,Gouldia minima,NA
Mollusca,Graphis albida,NA
Mollusca,Gregorioiscala sarsi,NA
Mollusca,Gymnomenia pellucida,NE
Mollusca,Haliella stenostoma,LC
Mollusca,Halielloides nitidus,LC
Mollusca,Haliphron atlanticus,NA
Mollusca,Hanleya hanleyi,LC
Mollusca,Hanleya nagelfar,LC
Mollusca,Helluoherpia aegiri,NE
Mollusca,Hemiaclis ventrosus,LC
Mollusca,Hemilepton nitidum,DD
Mollusca,Hero formosa,LC
Mollusca,Heteranomia squamula,LC
Mollusca,Heterodoris robusta,NE
Mollusca,Hiatella arctica,LC
Mollusca,Hiatella rugosa,LC
Mollusca,Hinnites distortus,LC
Mollusca,Hyala vitrea,LC
Mollusca,Hydrobia ulvae,LC
Mollusca,Idas simpsoni,NE
Mollusca,Iothia fulva,LC
Mollusca,Janolus cristatus,NA
Mollusca,Jorunna tomentosa,LC
Mollusca,Krachia cossmanni,LC
Mollusca,Kruppomenia borealis,NE
Mollusca,Lacuna crassior,LC
Mollusca,Lacuna pallidula,LC
Mollusca,Lacuna parva,LC
Mollusca,Lacuna vincta,LC
Mollusca,Ledella messanensis,LC
Mollusca,Lepeta caeca,LC
Mollusca,Lepidochitona cinereus,LC
Mollusca,Leptaxinus minutus,LC
Mollusca,Leptochiton alveolus,LC
Mollusca,Leptochiton arcticus,LC
Mollusca,Leptochiton asellus,LC
Mollusca,Leptochiton sarsi,LC
Mollusca,Limacia clavigera,LC
Mollusca,Limapontia senestra,NE
Mollusca,Limaria hians,LC
Mollusca,Limaria loscombi,LC
Mollusca,Limatula gwyni,LC
Mollusca,Limatula subauriculata,LC
Mollusca,Limatula subovata,NE
Mollusca,Liomesus ovum,LC
Mollusca,Liostomia afzelii,NE
Mollusca,Liostomia clavula,LC
Mollusca,Liostomia hansgei,LC
Mollusca,Lissotesta turrita,LC
Mollusca,Littorina arcana,LC
Mollusca,Littorina compressa,LC
Mollusca,Littorina fabalis,LC
Mollusca,Littorina littorea,LC
Mollusca,Littorina obtusata,LC
Mollusca,Littorina saxatilis,LC
Mollusca,Loligo forbesi,LC
Mollusca,Loligo subulata,LC
Mollusca,Loligo vulgaris,LC
Mollusca,Lophodoris danielsseni,NE
Mollusca,Lutraria lutraria,RE
Mollusca,Lyonsia arenosa,LC
Mollusca,Lyonsia norwegica,LC
Mollusca,Lyonsiella abyssicola,LC
Mollusca,Macoma balthica,LC
Mollusca,Macoma calcarea,LC
Mollusca,Mactra stultorum,LC
Mollusca,Malletia obtusa,LC
Mollusca,Mancikellia pumila,LC
Mollusca,Mangelia attenuata,LC
Mollusca,Mangelia coarctata,LC
Mollusca,Manzonia crassa,NE
Mollusca,Margarites costalis,LC
Mollusca,Margarites groenlandica,LC
Mollusca,Margarites helicina,LC
Mollusca,Margarites olivacea,LC
Mollusca,Marsenina glabra,LC
Mollusca,Melanella alba,LC
Mollusca,Melanella frielei,LC
Mollusca,Melanella laurae,DD
Mollusca,Melanella lubrica,LC
Mollusca,Melanella monterosatoi,LC
Mollusca,Melanella turrita,DD
Mollusca,Melarhaphe neritoides,LC
Mollusca,Mendicula ferruginosa,LC
Mollusca,Mendicula pygmaea,LC
Mollusca,Metzgeria alba,LC
Mollusca,Micromenia fodiens,NE
Mollusca,Mitrella rosacea,LC
Mollusca,Modiolula phaseolina,LC
Mollusca,Modiolus adriaticus,NE
Mollusca,Modiolus modiolus,LC
Mollusca,Moelleria costulata,LC
Mollusca,Moerella pygmaea,LC
Mollusca,Mohnia glypta,DD
Mollusca,Monia squama,LC
Mollusca,Montacuta substriata,LC
Mollusca,Musculus corrugatus,LC
Mollusca,Musculus discors,LC
Mollusca,Musculus laevigatus,LC
Mollusca,Musculus niger,LC
Mollusca,Musculus subpictus,LC
Mollusca,Mya arenaria,VU
Mollusca,Mya pseudoarenaria,LC
Mollusca,Mya truncata,LC
Mollusca,Mytilus edulis,LC
Mollusca,Nassarius incrassatus,LC
Mollusca,Nassarius nitidus,LC
Mollusca,Nassarius pygmaeus,LC
Mollusca,Nematomenia banyulensis,NE
Mollusca,Neomenia carinata,NE
Mollusca,Neomenia dalyelli,NE
Mollusca,Neopotilla amoena,LC
Mollusca,Neptunea antiqua,LC
Mollusca,Neptunea despecta,LC
Mollusca,Notolimea crassa,LC
Mollusca,Nototeredo norvagica,LC
Mollusca,Nucula nitidosa,LC
Mollusca,Nucula nucleus,LC
Mollusca,Nucula sulcata,LC
Mollusca,Nucula tumidula,LC
Mollusca,Nuculana minuta,LC
Mollusca,Nuculana pernula,LC
Mollusca,Obtusella intersecta,LC
Mollusca,Obtusella tumidula,LC
Mollusca,Octopus vulgaris,NA
Mollusca,Odostomia acuta,LC
Mollusca,Odostomia angusta,NA
Mollusca,Odostomia carrozzai,DD
Mollusca,Odostomia conoidea,LC
Mollusca,Odostomia conspicua,LC
Mollusca,Odostomia eulimoides,NE
Mollusca,Odostomia lukisi,LC
Mollusca,Odostomia scalaris,LC
Mollusca,Odostomia striolata,LC
Mollusca,Odostomia turgida,DD
Mollusca,Odostomia turrita,LC
Mollusca,Odostomia unidentata,LC
Mollusca,Oenopota assimilis,LC
Mollusca,Oenopota bergensis,LC
Mollusca,Oenopota elegans,LC
Mollusca,Oenopota exarata,LC
Mollusca,Oenopota harpularia,LC
Mollusca,Oenopota impressa,LC
Mollusca,Oenopota nobilis,LC
Mollusca,Oenopota pingeli,LC
Mollusca,Oenopota pyramidalis,LC
Mollusca,Oenopota rubescens,NE
Mollusca,Oenopota tenuicostata,LC
Mollusca,Oenopota trevelliana,LC
Mollusca,Oenopota turricula,LC
Mollusca,Oenopota violacea,LC
Mollusca,Okenia pulchella,LC
Mollusca,Omalogyra atomus,LC
Mollusca,Onchidoris bilamellata,LC
Mollusca,Onchidoris depressa,NE
Mollusca,Onchidoris inconspicua,NE
Mollusca,Onchidoris luteocincta,LC
Mollusca,Onchidoris muricata,LC
Mollusca,Onchidoris pusilla,NE
Mollusca,Ondina coarctata,DD
Mollusca,Ondina diaphana,NE
Mollusca,Ondina divisa,LC
Mollusca,Ondina normani,LC
Mollusca,Ondina obliqua,NE
Mollusca,Ondina warreni,NE
Mollusca,Onoba aculeus,LC
Mollusca,Onoba improcera,NE
Mollusca,Onoba semicostata,LC
Mollusca,Onychoteuthis banksi,LC
Mollusca,Ostrea edulis,NT
Mollusca,Palazzia ausonia,LC
Mollusca,Palio dubia,LC
Mollusca,Palio nothus,NE
Mollusca,Palliolum furtivum,LC
Mollusca,Palliolum striatum,LC
Mollusca,Palliolum tigerinum,LC
Mollusca,Panacca loveni,LC
Mollusca,Patella ulyssiponensis,LC
Mollusca,Patella vulgata,LC
Mollusca,Pecten maximus,LC
Mollusca,Pelseneeria stylifera,LC
Mollusca,Philine angulata,LC
Mollusca,Philine denticulata,LC
Mollusca,Philine finmarchica,LC
Mollusca,Philine lima,LC
Mollusca,Philine pruinosa,LC
Mollusca,Philine punctata,LC
Mollusca,Philine quadrata,LC
Mollusca,Philine quadripartita,LC
Mollusca,Philine retifera,NE
Mollusca,Philine scabra,LC
Mollusca,Philine ventricosa,NE
Mollusca,Pholas dactylus,LC
Mollusca,Pholidoherpia ctenodonta,NE
Mollusca,Piliscus radiatus,DD
Mollusca,Polititapes virgineus,LC
Mollusca,Polycera faeroensis,LC
Mollusca,Polycera quadrilineata,LC
Mollusca,Poromya granulata,LC
Mollusca,Potamopyrgus antipodarum,NA
Mollusca,Proneomenia sluiteri,NE
Mollusca,Propilidium exiguum,LC
Mollusca,Pseudamussium peslutrae,LC
Mollusca,Pseudopolinices nanus,DD
Mollusca,Pseudosetia turgida,LC
Mollusca,Psiloteredo megotara,LC
Mollusca,Pulsellum affine,LC
Mollusca,Pulsellum lofotense,LC
Mollusca,Puncturella noachina,LC
Mollusca,Pusillina inconspicua,LC
Mollusca,Pusillina sarsi,LC
Mollusca,Pyrunculus ovatus,NE
Mollusca,Raphitoma echinata,LC
Mollusca,Raphitoma linearis,LC
Mollusca,Raphitoma purpurea,LC
Mollusca,Retusa obtusata,LC
Mollusca,Retusa truncatula,LC
Mollusca,Retusa umbilicata,LC
Mollusca,Rissoa lilacina,LC
Mollusca,Rissoa membranacea,LC
Mollusca,Rissoa parva,LC
Mollusca,Rissoella diaphana,LC
Mollusca,Rissoella globularis,LC
Mollusca,Rossia glaucopis,LC
Mollusca,Rossia macrosoma,LC
Mollusca,Rostanga rubra,LC
Mollusca,Rostanga setidens,NE
Mollusca,Roxania utriculus,LC
Mollusca,Ruditapes decussatus,LC
Mollusca,Rugulina fragilis,LC
Mollusca,Saxicavella jeffreysi,LC
Mollusca,Scaphander lignarius,LC
Mollusca,Scaphander punctostriatus,LC
Mollusca,Scrobicularia plana,LC
Mollusca,Scutopus robustus,NE
Mollusca,Scutopus ventrolineatus,NE
Mollusca,Sepia officinalis,NA
Mollusca,Sepietta oweniana,LC
Mollusca,Sepiola atlantica,LC
Mollusca,Sepiola aurantiaca,NA
Mollusca,Sepiola pfefferi,LC
Mollusca,Sepiola rondeletti,DD
Mollusca,Serripes groenlandicus,LC
Mollusca,Similipecten similis,LC
Mollusca,Simrothiella margaritacea,NE
Mollusca,Siphonodentalium laubieri,LC
Mollusca,Siphonodentalium lobatum,LC
Mollusca,Siphonodentalium vitreum,LC
Mollusca,Skenea areolata,LC
Mollusca,Skenea basistriata,LC
Mollusca,Skenea peterseni,LC
Mollusca,Skenea proxima,NE
Mollusca,Skenea rugulosa,LC
Mollusca,Skeneopsis planorbis,LC
Mollusca,Solariella amabilis,LC
Mollusca,Solariella obscura,LC
Mollusca,Solariella varicosa,LC
Mollusca,Sphenia binghami,NE
Mollusca,Spirotropis modiolus,LC
Mollusca,Squamatoherpia tricuspidata,NE
Mollusca,Stenocemus albus,LC
Mollusca,Stenocemus exaratus,LC
Mollusca,Stylomenia sulcodoryata,NE
Mollusca,Taranis borealis,LC
Mollusca,Taranis moerchi,LC
Mollusca,Tectura testudinalis,LC
Mollusca,Tectura virginea,LC
Mollusca,Tegulaherpia myodoryata,NE
Mollusca,Tellimya tenella,LC
Mollusca,Tenellia adspersa,NA
Mollusca,Teretia teres,LC
Mollusca,Tergipes tergipes,LC
Mollusca,Thesbia nana,LC
Mollusca,Thracia convexa,LC
Mollusca,Thracia distorta,LC
Mollusca,Thracia gracilis,LC
Mollusca,Thracia phaseolina,LC
Mollusca,Thracia villosiuscula,LC
Mollusca,Thyasira dunbari,LC
Mollusca,Thyasira equalis,LC
Mollusca,Thyasira flexuosa,LC
Mollusca,Thyasira gouldi,LC
Mollusca,Thyasira granulosa,LC
Mollusca,Thyasira obsoleta,LC
Mollusca,Thyasira sarsi,LC
Mollusca,Timoclea ovata,LC
Mollusca,Tjaernoeia exquisita,NE
Mollusca,Todarodes sagittatus,LC
