species,pop_cat
Bathysolea polli,LC
Laemonema robustum,DD
Gobius roulei,LC
Gymnelus hemifasciatus,NA
Lycenchelys alba,NA
Lycodes adolfi,NA
Lycodes raridens,NA
Lycodes luetkenii,NA
Lasiognathus beebei,NA
Astronesthes atlanticus,LC
Eumicrotremus andriashevi,NA
Liparis bristolensis,NA
Maurolicus weitzmani,LC
Rhynchactis macrothrix,DD
Gadomus dispar,NA
Limanda limanda,LC
Pseudomyrophis nimius,LC
Rajella fyllae,LC
Dipturus batis,CR
Dipturus oxyrinchus,NT
Amblyraja hyperborea,LC
Amblyraja radiata,VU
Amblyraja jenseni,LC
Rajella kukujevi,LC
Lamprogrammus shcherbachevi,DD
Dipturus nidarosiensis,NT
Rajella ravidula,LC
Leucoraja fullonica,VU
Rajella barnardi,LC
Guttigadus latifrons,NA
Serrivomer lanceolatoides,LC
Lagocephalus lagocephalus,LC
Arctozenus risso,LC
Luciobrotula nolfi,LC
Dolopichthys allector,LC
Himantolophus compressus,DD
Phyllorhinichthys micractis,LC
Polymetme thaeocoryla,LC
Lycodes terraenovae,NA
Melanolagus bericoides,LC
Notoscopelus kroyeri,NA
Normichthys operosus,LC
Dibranchus tremendus,LC
Lycodes paamiuti,LC
Caulophryne pelagica,DD
Himantolophus melanolophus,NA
Stichaeus punctatus punctatus,NA
Psednos gelatinosus,NA
Psednos micruroides,NA
Paraliparis copei copei,DD
Bufoceratias wedli,LC
Chlorophthalmus atlanticus,LC
Himantolophus crinitus,LC
Physiculus microbarbata,DD
Maurolicus amethystinopunctatus,LC
Sebastes norvegicus,NA
Platytroctes mirus,NA
Eleginus nawaga,NA
Lycodes marisalbi,NA
Bathyraja spinicauda,NT
Clupea pallasii pallasii,NA
Salvelinus alpinus alpinus,LC
Phyllorhinichthys balushkini,LC
Apristurus melanoasper,DD
Careproctus longipinnis,NA
Coelorinchus caudani,NA
Neoraja iberica,LC
Sigmops bathyphilus,LC
Pseudoscopelus cordilluminatus,NA
Rajella lintea,LC
Liparis bathyarcticus,NA
Limanda proboscidea,NA
Salmo trutta,LC
Agonus cataphractus,LC
Anguilla anguilla,CR
Aphia minuta,NA
Arnoglossus laterna,LC
Belone belone,LC
Benthosema glaciale,LC
Glyptocephalus cynoglossus,NA
Lepidorhombus whiffiagonis,NA
Merlangius merlangus,LC
Merluccius merluccius,NA
Micromesistius poutassou,NA
Molva molva,NA
Pollachius pollachius,LC
Acanthocybium solandri,LC
Brosme brosme,NA
Buenia jeffreysii,LC
Buglossidium luteum,LC
Capros aper,LC
Centrolabrus exoletus,LC
Cepola macrophthalma,LC
Cetorhinus maximus,VU
Chirolophis ascanii,NA
Coris julis,LC
Crystallogobius linearis,LC
Ctenolabrus rupestris,LC
Dicentrarchus labrax,LC
Engraulis encrasicolus,LC
Entelurus aequoreus,LC
Eutrigla gurnardus,NA
Gobiusculus flavescens,LC
Gymnammodytes semisquamatus,LC
Diplecogaster bimaculata,LC
Helicolenus dactylopterus,LC
Lamna nasus,VU
Symphodus melops,LC
Alosa alosa,LC
Katsuwonus pelamis,LC
Sarda sarda,LC
Somniosus microcephalus,NT
Boops boops,LC
Boreogadus saida,NA
Brama brama,LC
Centrolophus niger,LC
Conger conger,LC
Macroramphosus scolopax,LC
Mallotus villosus,NA
Osmerus mordax,LC
Polyprion americanus,DD
Urophycis tenuis,NA
Apristurus laurussonii,DD
Apristurus microps,LC
Argyrosomus regius,LC
Centroscymnus crepidater,LC
Centrophorus squamosus,VU
Centroscyllium fabricii,LC
Ceratoscopelus maderensis,LC
