Time,Period,POB,KWH,SWH,HWH,MWH,FWH,BES,HAS,HOS,RIS,SBA,SBB,SHO,DEO,PEL,PES,REO,DEL,FLA,LRD,SSK,MES,GRH,MAC,HAD,SAI,RED,BWH,SSH,NCO,PCO,CAP,PWN,CEP,KCR,SCR,ZG,ZL,ZM,ZS,DF,PS,PL,BC,BD,BFF,SPO,COR,PB,BB,DR,DL,DC,DIN,RelPOB,RelKWH,RelSWH,RelHWH,RelMWH,RelFWH,RelBES,RelHAS,RelHOS,RelRIS,RelSBA,RelSBB,RelSHO,RelDEO,RelPEL,RelPES,RelREO,RelDEL,RelFLA,RelLRD,RelSSK,RelMES,RelGRH,RelMAC,RelHAD,RelSAI,RelRED,RelBWH,RelSSH,RelNCO,RelPCO,RelCAP,RelPWN,RelCEP,RelKCR,RelSCR,RelZG,RelZL,RelZM,RelZS,RelDF,RelPS,RelPL,RelBC,RelBD,RelBFF,RelSPO,RelCOR,RelPB,RelBB,RelDR,RelDL,RelDC,RelDIN,PelDemRatio,PiscivPlankRatio,DivCount,InfEpiRatio,BSSslope,HabitCover
1981,1,169.195645,118553.3263,96170.95755,52135.98467,751524.027,805575.2548,5323.884957,164139.3193,99662.40161,5101.608813,24839.25089,4963.208745,562701.433,1505887.162,2189818.703,805623.2228,719805.0448,89004.38405,90436.42926,2119204.439,290239.8237,23599764.32,586572.3775,4783311.517,365244.5658,1323817.4,532261.6627,4343924.11,5133159.181,3209388.214,2711031.578,1606671.697,8413138.63,26603540.11,4922.989542,1894.508914,6099524.439,1122527459,492570003,12562248.82,601548.1259,83822883.06,6696555401,11449158.36,416502702.5,9176769.741,9920474.01,10181737.89,2472147146,8210466350,3280957531,17525136636,0,76228913240,0.332739,3.383487,0.550082,0.401537,1.576655,1.181889,1.445246,1.159286,5.063223,1.020918,4.00303,0.924843,3.126544,1.335945,339.000398,6.446387,1.528098,1.179668,1.236651,13.425787,3.120764,6.729104,6.285241,11.811075,1.966003,3.729363,1.644807,3.708119,10.189493,3.137642,11.892777,0.277452,29.322005,17.95198,0.707666,1.885092,0.963382,58.705547,14.741326,0.204336,0.328619,1.833168,146.450562,3.149773,114.583883,1.1907,1.028948,1.011128,540.64712,1785.74803,5.065295,14.479118,1,0.990826,1.841802,1.1408E+27,27.92,12655408917,-1346574.326,0.28437
1981,2,164.316398,108967.3692,95068.27841,52154.52787,755595.8882,801620.5335,6235.73564,161459.4403,97345.79119,5014.796122,25284.67363,5001.897565,537787.0375,1229844.965,1674122.587,603148.9866,686172.4555,94569.45649,77323.07306,1423865.713,260225.3861,21948551.98,610059.2971,6253493.233,316436.0962,1346384.789,543678.0252,4315630.016,5484769.353,3183760.479,2834958.003,3202616.52,8027316.118,27785271.98,4907.881784,1907.726177,6092110.199,1093208717,484293556.7,47522051.39,16407064.89,98357343.93,8102364097,11595993.81,438796294.9,9184018.521,9921195.35,10188994.13,2569039821,8257771801,3316118205,17905736372,0,75129215084,0.323143,3.109906,0.543775,0.40168,1.585197,1.176086,1.692781,1.140359,4.945531,1.003545,4.074813,0.932053,2.988112,1.091055,259.166762,4.826241,1.456698,1.253428,1.057336,9.02061,2.798038,6.258287,6.536908,15.441285,1.703281,3.792938,1.680086,3.683967,10.887451,3.112587,12.436418,0.553051,27.977312,18.749409,0.705495,1.898243,0.962211,57.172246,14.493634,0.77299,8.962991,2.15103,177.194947,3.190169,120.717064,1.191641,1.029023,1.011848,561.837099,1796.036802,5.119578,14.793566,1,0.976532,1.15871E+20,1.25241E+27,31.56,13103870125,-1249262.032,0.284646
1981,3,161.75589,110284.62,94008.42311,52258.687,788583.5016,818795.088,5801.450121,161646.8001,98754.89597,5059.914949,25024.0796,4787.936484,547673.1488,1340026.644,1721079.147,667465.5948,689404.9845,76164.22075,81385.24454,1618934.916,274505.2797,18707152.2,632671.9149,5273056.063,322826.2871,1364494.049,616870.9527,4692322.3,5731249.272,3397736.128,2956992.57,3700173.676,8355670.671,29413695.12,4892.438996,2332.000091,6086360.021,1075114967,966284002.2,1284925042,369982145.7,285004730.7,9494156955,11745715.53,462430880.8,9187252.505,9921882.488,10200187.67,2854069752,8345330474,3375100550,18816485219,0,70894245257,0.318108,3.1475,0.537713,0.402482,1.654403,1.201284,1.574888,1.141682,5.017119,1.012574,4.032817,0.892183,3.043042,1.188802,266.435991,5.340886,1.46356,1.009484,1.112883,10.256431,2.951581,5.334052,6.779207,13.020364,1.737678,3.843954,1.906269,4.005524,11.376722,3.321779,12.971761,0.638973,29.121714,19.848264,0.703275,2.320408,0.961302,56.225986,28.918342,20.900483,202.117004,6.232921,207.632811,3.231359,127.219165,1.192061,1.029094,1.01296,624.171823,1815.08051,5.210637,15.546019,1,0.921485,1.16657E+20,1.33317E+27,32.24,13568892254,-1056760.666,0.2849
1981,4,159.315934,111674.3637,93238.17236,52374.21622,800328.2769,831330.3819,5631.928602,161859.1936,100528.6741,5091.891939,24676.80862,4869.882985,557244.5395,1324712.666,1877043.375,729609.8943,694432.2014,82663.20352,84841.88282,1814181.187,271141.0168,21834104.88,633880.6625,4809353.031,333922.4812,1385485.307,666521.9304,5063900.953,6131975.28,3345977.728,2629925.097,3826325.783,11741112.81,33801612.25,4875.012789,2277.28826,6073805.586,1112430140,1123659632,81833455.68,82318933.04,167411322.4,5027656164,11899499.71,487794294.6,9182945.817,9922262.79,10212069.75,2822229864,8414804645,3391651328,18701014091,0,76630660092,0.313309,3.187163,0.533307,0.403372,1.679043,1.219675,1.528868,1.143182,5.107233,1.018973,3.976851,0.907453,3.096224,1.175217,290.580426,5.838148,1.474233,1.095622,1.16015,11.493374,2.915407,6.225654,6.792159,11.875377,1.797405,3.90309,2.059701,4.322716,12.172176,3.271178,11.536978,0.660758,40.920873,22.809215,0.70077,2.265969,0.959319,58.177481,33.628181,1.331096,44.969889,3.661208,109.952509,3.273666,134.196883,1.191502,1.029134,1.01414,617.208587,1830.190902,5.236189,15.450618,1,0.996047,5.25914E+19,1.59425E+27,31.12,14055394898,-1240745.912,0.284838
1981,5,161.350534,113503.8969,92528.77718,52463.43784,778282.6055,823475.7533,5500.220915,159292.5872,102097.7444,5103.571627,24685.82407,4929.579686,556178.7238,1450079.916,2036508.075,789995.6437,701106.2246,82998.9646,88262.17157,1999736.615,286097.9241,23373957.41,560471.9794,4809353.031,344198.6787,1417986.088,675891.248,5431754.508,6441849.422,3313274.865,2677439.032,3961997.798,21408147.32,42046569.27,4854.584853,2259.150285,6063324.575,1083368473,819327949.2,35529166.55,40990.71674,107140721.5,4891654112,12055394.97,514645706.4,9152931.893,9923754.438,10221178.3,2350899485,8464350424,3405228240,18186866419,0,77994864716,0.317311,3.239378,0.52925,0.404059,1.632793,1.208151,1.493115,1.125055,5.186948,1.021311,3.978304,0.918577,3.090302,1.286436,315.26676,6.321339,1.488401,1.100072,1.20692,12.668923,3.076229,6.664719,6.00557,11.875377,1.852719,3.994648,2.088655,4.636728,12.787287,3.239206,11.745413,0.684187,74.613036,28.372885,0.697833,2.247921,0.957664,56.657624,24.520333,0.577914,0.022393,2.343118,106.978208,3.316555,141.583963,1.187607,1.029289,1.015044,514.130818,1840.966938,5.25715,15.025833,1,1.013779,2.36255,1.4934E+27,27.94,14568428672,-1332177.229,0.283483
1982,1,169.270394,114806.3537,92563.00869,49376.28329,779672.5461,824166.9657,5406.764307,163154.5212,100651.6006,5119.363476,25188.98297,4979.975912,569801.9956,1560077.094,2183685.303,842524.6412,704859.9467,89039.2675,91706.57491,2182067.545,300961.7133,24925861.07,583517.0438,4809353.031,352459.0479,1250702.243,593861.8342,4076653.19,5732614.087,3222816.432,2808910.764,1625947.084,17810571.63,27472884.04,4838.568496,1817.299666,6054316.234,1055733996,527163656.6,16164070.62,8302.448815,107998496.9,4790074192,12210564.69,542986069.1,9165632.418,9925886.781,10229322.35,2310506443,8501631812,3426113210,17921546200,0,78692047346,0.332886,3.276549,0.529445,0.380283,1.635709,1.209165,1.467744,1.152331,5.113478,1.024471,4.059392,0.927968,3.165997,1.38402,338.050902,6.741663,1.49637,1.18013,1.254019,13.824043,3.23605,7.10722,6.252502,11.875377,1.897182,3.523388,1.835166,3.479968,11.379431,3.15077,12.322154,0.28078,62.074536,18.538611,0.695531,1.808266,0.956241,55.212406,15.776623,0.262923,0.004536,2.361877,104.756702,3.359243,149.380669,1.189255,1.02951,1.015853,505.297048,1849.075511,5.289393,14.806628,1,1.022841,1.910207,1.11295E+27,27.8,15095127576,-1423815.622,0.286631
1982,2,164.421231,105691.1149,91338.58498,49404.88609,782079.4678,818285.3468,6345.423513,160635.7254,97992.34591,5035.88847,25651.87774,5019.739736,544879.703,1275467.192,1680563.553,630792.7241,674570.8216,94638.16342,78556.4837,1466711.257,269724.3315,23055550.94,605823.0898,6268940.84,314285.7411,1277967.046,594716.136,4093536.891,6102775.501,3196384.337,2940718.664,2701842.564,17602464.23,28728210.64,4821.482888,1844.356978,6048562.916,1028509028,344820901.1,6342242.887,16671801.46,141623397,5050122309,12366103.2,572574314.8,9175577.375,9927276.625,10231246.02,2278323950,8526868733,3444808754,17740939689,0,78009593079,0.323349,3.016402,0.522442,0.380503,1.640758,1.200536,1.722557,1.134541,4.978378,1.007766,4.133991,0.935377,3.027521,1.131529,260.163872,5.047439,1.432069,1.254338,1.074202,9.292049,2.900174,6.57393,6.491516,15.479429,1.691706,3.600197,1.837806,3.49438,12.114214,3.124928,12.90037,0.466574,61.349227,19.385701,0.693075,1.835189,0.955333,53.788604,10.319584,0.103162,9.107614,3.097238,110.443834,3.402033,157.520679,1.190546,1.029654,1.016044,498.258885,1854.564454,5.318256,14.657412,1,1.013971,1.1309E+20,1.17743E+27,31.52,15634008316,-1313673.886,0.288665
1982,3,161.934326,106624.3913,90170.26414,49498.96859,814766.7813,835122.2473,5913.392804,160720.4195,98920.20069,5084.345238,25401.19306,4806.379395,555194.9497,1389908.292,1726960.134,698633.8879,677491.6576,76238.78805,82738.6928,1669599.796,284504.9633,19222448.18,627033.638,5311338.714,326223.8502,1298344.356,621147.7345,4390374.501,6408954.874,3406891.234,3070863.933,2916279.46,17832443.93,30370469.99,4804.008472,2277.852218,6047911.541,1021482059,335838742.1,320290613.8,324654282.9,474156418.1,9079453408,12524637.2,603746584.8,9180160.406,9927967.054,10226798.08,2642356492,8547223887,3498712428,18616916486,0,72009822583,0.318459,3.043038,0.515759,0.381228,1.709335,1.225238,1.605276,1.135139,5.025517,1.017463,4.093591,0.89562,3.084836,1.233055,267.346412,5.590287,1.438269,1.010472,1.13139,10.577408,3.059101,5.480981,6.718791,13.114893,1.755966,3.657602,1.919485,3.747771,12.72199,3.330729,13.471293,0.503604,62.150767,20.493892,0.690563,2.26653,0.95523,53.421111,10.050771,5.20982,177.354912,10.369581,198.563437,3.445648,166.096469,1.19114,1.029725,1.015602,577.871115,1858.991629,5.401475,15.381137,1,0.935986,1.12549E+20,1.18499E+27,32.16,16197238495,-1086237.415,0.288954
1982,4,159.583626,107736.4145,89323.61471,49603.30356,823622.4811,846881.4501,5746.158161,160800.6655,100298.687,5118.090836,25043.16273,4889.376442,564959.9156,1368639.747,1881327.463,763176.6153,683065.3253,82727.77543,86215.9174,1869739.323,281382.0346,22081214.07,626511.6709,4476094.94,339474.496,1316836.737,615144.2981,4664204.981,6775255.121,3343105.003,2826880.244,3008375.413,15488366.34,34070232.92,4786.044188,2248.057393,6040445.153,1166892499,599559810.4,842857168.1,732490281.5,529669267.9,5806250823,12687038.01,636785230.6,9196572.43,9928363.468,10227080.96,2663696408,8571208257,3507546493,18781121215,0,73414571924,0.313836,3.074775,0.510917,0.382031,1.727913,1.24249,1.559878,1.135706,5.095549,1.024216,4.035892,0.911086,3.139093,1.214186,291.243635,6.106741,1.450102,1.096478,1.178939,11.845351,3.025522,6.296113,6.713198,11.052488,1.82729,3.709698,1.900933,3.981522,13.449109,3.268369,12.400983,0.519508,53.981039,22.99048,0.687981,2.236883,0.95405,61.025735,17.94325,13.709844,400.151041,11.583621,126.980014,3.490326,175.185717,1.19327,1.029767,1.01563,582.538055,1864.208147,5.415114,15.516801,1,0.954245,5.06418E+19,1.37756E+27,31.16,16792643079,-1254425.286,0.28944
1982,5,161.788396,110129.6162,89360.22703,49683.28191,796908.7418,835965.0815,5605.940538,158335.0981,101721.3706,5127.238134,25028.09374,4948.370448,562531.061,1491376.455,2041225.881,824725.1822,690624.2256,83024.87716,89494.42063,2059459.789,296809.2875,24048258.37,553064.119,4476094.94,351523.062,1342067.991,608271.2268,4928756.943,6998425.885,3286200.358,2851216.175,3045495.741,24042180.98,41544139,4768.05747,2268.5544,6028653.673,1201007712,640958041.4,54994029.84,239572404.9,187637140.9,5549041413,12853148.92,671373192.3,9224228.04,9929984.731,10236311.8,2419723800,8602149348,3526833856,18587294251,0,75534031523,0.318172,3.143076,0.511126,0.382647,1.671869,1.226475,1.521814,1.118292,5.167827,1.026047,4.033464,0.922078,3.125598,1.323072,315.997112,6.599236,1.466149,1.100415,1.22377,13.047287,3.191401,6.856985,5.926193,11.052488,1.892144,3.780777,1.879694,4.207352,13.89211,3.212737,12.50774,0.525918,83.793337,28.033847,0.685395,2.257278,0.952188,62.80988,19.18219,0.894528,130.875658,4.103537,121.354963,3.536024,184.701196,1.196858,1.029935,1.016547,529.182377,1870.937727,5.44489,15.356663,1,0.981793,2.318729,1.23522E+27,27.94,17421866324,-1371273.972,0.290608
