"year","PelBioPP","scenario"
1980,0.348784739679541,"fmsy0"
1981,0.092668881328513,"fmsy0"
1982,0.421009310536367,"fmsy0"
1983,0.409994965922761,"fmsy0"
1984,0.418916590076688,"fmsy0"
1985,0.407473635080383,"fmsy0"
1986,0.0936191583697293,"fmsy0"
1987,0.285283984627033,"fmsy0"
1988,0.495125132566954,"fmsy0"
1989,0.44989768048314,"fmsy0"
1990,0.425990273370529,"fmsy0"
1991,0.445050011182838,"fmsy0"
1992,0.460185825920513,"fmsy0"
1993,0.408643760244711,"fmsy0"
1994,0.365475411944346,"fmsy0"
1995,0.450344121586039,"fmsy0"
1996,0.421459753671818,"fmsy0"
1997,0.440247094743049,"fmsy0"
1998,0.511388521773929,"fmsy0"
1999,0.444191595122549,"fmsy0"
2000,0.454589391808344,"fmsy0"
2001,0.297234389224473,"fmsy0"
2002,0.438524732159278,"fmsy0"
2003,0.451400572860843,"fmsy0"
2004,0.416307255374652,"fmsy0"
2005,0.399053927478984,"fmsy0"
2006,0.440383772997978,"fmsy0"
2007,0.425036486788829,"fmsy0"
2008,0.456334007348763,"fmsy0"
2009,0.497738799237724,"fmsy0"
2010,0.427365718566397,"fmsy0"
2011,0.419409681716343,"fmsy0"
2012,0.457815569481728,"fmsy0"
2013,0.440618750809544,"fmsy0"
2014,0.406959383655417,"fmsy0"
2015,0.426173614382064,"fmsy0"
1980,0.357680825074971,"fmsy1"
1981,0.370817662798581,"fmsy1"
1982,0.375690269085645,"fmsy1"
1983,0.369741619266863,"fmsy1"
1984,0.417920832509214,"fmsy1"
1985,0.389785033748342,"fmsy1"
1986,0.246859824288059,"fmsy1"
1987,0.377399666781629,"fmsy1"
1988,0.384866288722169,"fmsy1"
1989,0.397414833800988,"fmsy1"
1990,0.324146839870759,"fmsy1"
1991,0.357940250081356,"fmsy1"
1992,0.349883595400265,"fmsy1"
1993,0.369537569327263,"fmsy1"
1994,0.0798729345762727,"fmsy1"
1995,0.370365940720339,"fmsy1"
1996,0.56940831363214,"fmsy1"
1997,0.367402020797054,"fmsy1"
1998,0.446638491026162,"fmsy1"
1999,0.303747377571694,"fmsy1"
2000,0.614963105261316,"fmsy1"
2001,0.776018681520283,"fmsy1"
2002,0.5607302549221,"fmsy1"
2003,0.42520147519225,"fmsy1"
2004,0.448165230144272,"fmsy1"
2005,0.405635302315927,"fmsy1"
2006,0.314217116278091,"fmsy1"
2007,0.425370990924261,"fmsy1"
2008,0.422402548157113,"fmsy1"
2009,0.408601905636012,"fmsy1"
2010,0.406168469288294,"fmsy1"
2011,0.36904779552897,"fmsy1"
2012,0.408360136800343,"fmsy1"
2013,1.28977289972831,"fmsy1"
2014,0.878080907194023,"fmsy1"
2015,0.573329549443866,"fmsy1"
1980,0.312808356463673,"fmsy2"
1981,0.369479995802161,"fmsy2"
1982,2.25671389663973,"fmsy2"
1983,1.51689291985378,"fmsy2"
1984,0.730731328235613,"fmsy2"
1985,0.325871876898829,"fmsy2"
1986,0.174420423488673,"fmsy2"
1987,0.392594345866852,"fmsy2"
1988,0.0936942989411347,"fmsy2"
1989,0.284972402401522,"fmsy2"
1990,0.42348691903182,"fmsy2"
1991,0.380524423406978,"fmsy2"
1992,0.368623522935423,"fmsy2"
1993,0.411550394334401,"fmsy2"
1994,0.498363105122042,"fmsy2"
1995,0.216071175963528,"fmsy2"
1996,0.365484256242321,"fmsy2"
1997,0.266273038060834,"fmsy2"
1998,0.449682682026347,"fmsy2"
1999,0.446046979157377,"fmsy2"
2000,0.425863361748783,"fmsy2"
2001,0.312107593364728,"fmsy2"
2002,0.41442306730725,"fmsy2"
2003,0.404823857821659,"fmsy2"
2004,0.38303877872487,"fmsy2"
2005,0.359637673052584,"fmsy2"
2006,0.246922071209183,"fmsy2"
2007,0.428180219929632,"fmsy2"
2008,0.404564391986681,"fmsy2"
2009,0.432730292359174,"fmsy2"
2010,0.348458965264756,"fmsy2"
2011,0.404559706984559,"fmsy2"
2012,0.176033473922153,"fmsy2"
2013,0.395700182401278,"fmsy2"
2014,0.326335532194125,"fmsy2"
2015,0.410735613329422,"fmsy2"
