rgn_id,stock_id_taxonkey,year,mean_catch
1,Sebastes_marinus-27_600501,1980,19634.41033
1,Sebastes_marinus-27_600501,1981,19634.41033
1,Sebastes_marinus-27_600501,1982,19634.41033
1,Sebastes_marinus-27_600501,1983,19634.41033
1,Sebastes_marinus-27_600501,1984,19634.41033
1,Sebastes_marinus-27_600501,1985,19634.41033
1,Sebastes_marinus-27_600501,1986,19634.41033
1,Sebastes_marinus-27_600501,1987,19634.41033
1,Sebastes_marinus-27_600501,1988,19634.41033
1,Sebastes_marinus-27_600501,1989,19634.41033
1,Sebastes_marinus-27_600501,1990,19634.41033
1,Sebastes_marinus-27_600501,1991,19634.41033
1,Sebastes_marinus-27_600501,1992,19634.41033
1,Sebastes_marinus-27_600501,1993,19634.41033
1,Sebastes_marinus-27_600501,1994,19634.41033
1,Sebastes_marinus-27_600501,1995,19634.41033
1,Sebastes_marinus-27_600501,1996,19634.41033
1,Sebastes_marinus-27_600501,1997,19634.41033
1,Sebastes_marinus-27_600501,1998,19634.41033
1,Sebastes_marinus-27_600501,1999,19634.41033
1,Sebastes_marinus-27_600501,2000,19634.41033
1,Sebastes_marinus-27_600501,2001,19634.41033
1,Sebastes_marinus-27_600501,2002,19634.41033
1,Sebastes_marinus-27_600501,2003,19634.41033
1,Sebastes_marinus-27_600501,2004,19634.41033
1,Sebastes_marinus-27_600501,2005,19634.41033
1,Sebastes_marinus-27_600501,2006,19634.41033
1,Sebastes_marinus-27_600501,2007,19634.41033
1,Sebastes_marinus-27_600501,2008,19634.41033
1,Sebastes_marinus-27_600501,2009,19634.41033
1,Sebastes_marinus-27_600501,2010,19634.41033
1,Sebastes_marinus-27_600501,2011,19634.41033
1,Sebastes_marinus-27_600501,2012,19634.41033
1,Sebastes_marinus-27_600501,2013,19634.41033
1,Sebastes_marinus-27_600501,2014,19634.41033
1,Sebastes_marinus-27_600501,2015,19634.41033
1,Sebastes_marinus-27_600501,2016,19634.41033
1,Sebastes_marinus-27_600501,2017,19634.41033
1,Sebastes_marinus-27_600501,2018,19634.41033
1,Sebastes_marinus-27_600501,2019,19634.41033
1,Sebastes_marinus-27_600501,2020,19634.41033
1,Sebastes_marinus-27_600501,2021,19634.41033
1,Sebastes_marinus-27_600501,2022,19634.41033
1,Sebastes_marinus-27_600501,2023,19634.41033
1,Sebastes_marinus-27_600501,2024,19634.41033
1,Sebastes_marinus-27_600501,2025,19634.41033
1,Sebastes_marinus-27_600501,2026,19634.41033
1,Sebastes_marinus-27_600501,2027,19634.41033
1,Sebastes_marinus-27_600501,2028,19634.41033
1,Sebastes_marinus-27_600501,2029,19634.41033
1,Sebastes_marinus-27_600501,2030,19634.41033
1,Sebastes_marinus-27_600501,2031,19634.41033
1,Sebastes_marinus-27_600501,2032,19634.41033
1,Sebastes_marinus-27_600501,2033,19634.41033
1,Sebastes_marinus-27_600501,2034,19634.41033
1,Sebastes_marinus-27_600501,2035,19634.41033
1,Sebastes_marinus-27_600501,2036,19634.41033
1,Sebastes_marinus-27_600501,2037,19634.41033
