Year,KWH,SWH,HWH,MWH,FWH,BES,HAS,HOS,RIS,SBA,SBB,SHO,DEO,PEL,PES,REO,DEL,FLA,LRD,SSK,MES,GRH,MAC,HAD,SAI,RED,BWH,SSH,NCO,PCO,CAP,PWN,CEP,KCR,SCR,ZG,ZL,ZM,ZS,DF,PS,PL,BC,BD,BFF,SPO,COR,PB,BB,DR,DL,DC,TsActKWH,TsActSWH,TsActHWH,TsActMWH,TsActFWH,TsActBES,TsActHAS,TsActHOS,TsActRIS,TsActSBA,TsActSBB,TsActSHO,TsActDEO,TsActPEL,TsActPES,TsActREO,TsActDEL,TsActFLA,TsActLRD,TsActSSK,TsActMES,TsActGRH,TsActMAC,TsActHAD,TsActSAI,TsActRED,TsActBWH,TsActSSH,TsActNCO,TsActPCO,TsActCAP,TsActPWN,TsActCEP,TsActKCR,TsActSCR,TsActZG,TsActZL,TsActZM,TsActZS,TsActDF,TsActPS,TsActPL,TsActBC,TsActBD,TsActBFF,TsActSPO,TsActCOR,TsActPB,TsActBB,TsActDR,TsActDL,TsActDC
1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23325.72458,0,0,0,0,0,30586.12516,184426.7396,72826.91286,89387.99716,47320.91276,542796.4011,97158.61765,1084610.019,0,714552.8209,237261.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19364.57392,0,0,0,0,0,32799.63834,234341.6874,128569.0536,81965.82114,47346.85573,700766.0227,109665.1776,1477444.525,0,690765.0994,242004.7368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19977.68431,0,0,0,0,0,35982.62485,272555.2249,127553.0595,88700.49549,47088.37401,767222.9984,196573.9136,1381034.569,0,419481.4406,259051.4993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21931.96883,0,0,0,0,0,23689.23956,304767.5936,173330.186,92636.61951,99260.67849,778200.3197,296228.8748,2023178.798,0,1209.923816,138565.6748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19348.50567,0,0,0,0,0,27164.76127,278862.4012,157663.0708,88427.98285,86122.32473,901056.3818,465969.9826,2183212.867,0,0,113734.5361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23036.42189,0,0,0,0,0,31848.44211,219933.9267,171037.9003,79991.5917,67492.67246,1024161.062,578634.2435,2191078.837,0,0,141773.7165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23258.38757,0,0,0,0,0,20616.32652,219593.9743,139716.2808,69072.61193,36728.51966,751903.1676,640561.789,2346606.535,0,10180.17358,149644.8283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26632.5453,0,0,0,0,0,25320.92172,261511.544,89090.14624,74442.50459,35029.60856,1081128.445,561205.2722,2155309.941,0,12929.86652,171992.3547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27443.05846,0,0,0,0,0,41251.93475,219702.3551,59887.02771,80767.44416,56763.54179,1118312.589,532341.0052,1934106.065,0,218679.9434,244304.3033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21717.79211,0,0,0,0,0,29725.2304,254324.4857,58671.86233,79190.39459,40490.61668,1155282.689,466664.7174,1693661.056,0,642334.4415,288905.745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17232.26684,0,0,0,0,0,34160.03294,277728.1743,58918.09374,83460.72991,35107.93333,1166474.961,283257.8829,1436588.075,0,432304.4173,165125.6928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16603.57083,0,0,0,0,0,27253.3979,273455.3479,61986.48189,93232.17337,65011.03328,884684.2412,267212.8916,1627323.571,0,669018.2308,166201.0472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14437.29964,0,0,0,0,0,28397.32863,212807.0101,68995.72957,109166.0523,22839.43632,1163202.952,232642.2793,1632554.815,0,611333.9102,142521.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14411.67022,0,0,0,0,0,38422.99374,204949.0012,96103.76638,116737.8295,6325.406622,1286370.742,168686.2134,1811131.778,0,2008.466873,117321.0154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15312.46917,0,0,0,0,0,38118.78181,182579.6376,107167.1009,126985.4677,15830.71138,1256684.326,200411.0828,1878558.502,0,8780.263178,120520.459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17419.57901,0,0,0,0,0,35643.94736,146608.8761,146141.1494,181176.1937,25492.48453,1280134.519,159154.0665,1624060.717,0,29.378353,93195.09803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18931.2776,0,0,0,0,0,29987.66035,168015.2498,162551.2932,178548.6014,103882.552,1340809.124,206938.3609,1231170.984,0,28616.53158,85962.41205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18464.89394,0,0,0,0,0,25534.39979,164926.7676,120044.3522,192316.58,64032.28012,1272738.518,232854.108,889472.7785,0,33772.65052,83902.5544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19816.3216,0,0,0,0,0,22252.01593,178221.9847,121802.5419,181795.7893,42915.51186,820066.3826,253214.8986,839174.2685,0,285329.5177,92536.18727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22832.48753,0,0,0,0,0,24475.31657,190676.6237,138205.4795,208874.9884,31698.20127,694911.6529,240759.9817,910964.8049,0,330709.0175,90092.51095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22001.75012,0,0,0,0,0,25580.61309,196560.7011,156538.5426,195383.5897,39292.43989,130465.8373,180417.0636,1034152.768,0,497120.153,125186.4341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21620.04663,0,0,0,0,0,31175.96866,173424.2704,152074.4173,191794.1934,43763.4316,459896.7604,161527.2079,1022290.698,0,312349.2145,130480.1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22818.15428,0,0,0,0,0,33286.64412,170452.946,92726.90665,153071.3131,34230.42047,753684.0721,144405.6523,1227496.811,0,168560.9199,85838.16554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17308.19104,0,0,0,0,0,33170.84019,242375.6106,79151.53396,149279.8065,27137.36934,1166652.573,106718.5287,1339843.482,0,76501.25431,86295.51859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16385.91122,0,0,0,0,0,33108.70049,213606.3061,88672.8008,163945.4607,59008.79084,1101650.872,82131.27243,1228697.973,0,274890.1694,94461.84886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8184.585684,0,0,0,0,0,86047.83849,218872.3327,70437.97952,43684.83183,82688.88491,1281755.457,209779.1905,1890499.517,0,116094.1055,102511.0794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8808.234253,0,0,0,0,0,82019.91671,218032.9029,76552.41652,52180.69845,82159.42714,1235964.582,210510.755,1777879.358,0,123561.6762,95212.41962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9413.335472,0,0,0,0,0,78313.41156,216253.4162,79967.93096,62291.24328,83523.11742,1189707.013,211655.7492,1710273.808,0,140328.2977,101138.9598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9945.119607,0,0,0,0,0,75070.18456,213978.0584,78292.66637,73247.40531,80388.69936,1145099.151,207218.5226,1666374.977,0,140870.973,88537.98454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10396.15981,0,0,0,0,0,72584.71509,212930.4148,79834.11701,85234.12772,80252.73476,1107871.655,201948.7613,1644702.246,0,123289.2795,85839.12283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10787.47234,0,0,0,0,0,70900.78141,214143.6561,117749.0906,99321.66121,81590.98494,1086367.886,193316.5797,1660555.813,0,91379.63634,84100.96452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11179.29689,0,0,0,0,0,69434.08142,213664.3824,142460.9637,114997.7313,77684.46851,1068496.122,182259.7321,1655329.494,0,74736.87814,70155.33763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11675.8879,0,0,0,0,0,68387.10913,212144.0206,156513.3557,132286.3166,79541.43979,1058379.642,172988.7779,1646381.08,0,99371.24667,87553.6801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12043.10006,0,0,0,0,0,67688.47273,212527.4203,158314.7412,152657.1444,77386.96862,1052356.441,165533.7624,1612335.918,0,108121.9138,100997.7358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12525.18512,0,0,0,0,0,67555.43636,211742.9776,143815.5178,174978.6387,77205.07324,1048373.442,154632.6847,1650127.175,0,97688.4814,113974.2404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12941.20674,0,0,0,0,0,67647.10076,210076.48,124811.7644,198078.5596,75828.09957,1044235.166,145755.8594,1673973.75,0,135064.7158,115711.0483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13375.12419,0,0,0,0,0,67358.72774,208747.4179,106294.8934,222743.0989,81727.08677,1041735.459,141166.7242,1647072.982,0,138319.4208,141967.499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14134.58734,0,0,0,0,0,67253.78113,209164.1563,92179.94499,250811.0392,82254.58111,1043774.682,137811.8409,1631543.514,0,99904.51269,150971.6715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14902.37265,0,0,0,0,0,67281.66911,211435.4815,81374.92474,280330.1262,83770.21232,1048703.366,132371.1836,1631777.81,0,112888.0856,151017.0054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
