year,Scientific_Name,Common_Name,fao_rgn,stock_id,TaxonKey,Resilience,tons
1980,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,47689.04042
1981,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,60174.4722
1982,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,54664.67482
1983,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,49867.13517
1984,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,45762.47484
1985,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,41644.93748
1986,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,38464.69639
1987,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,35256.09937
1988,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,32780.92873
1989,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,31310.16593
1990,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,36536.64056
1991,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,23325.72458
1992,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,19364.57392
1993,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,19977.68431
1994,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,21931.96883
1995,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,19348.50567
1996,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,23036.42189
1997,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,23258.38757
1998,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,26632.5453
1999,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,27443.05846
2000,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,21717.79211
2001,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,17232.26684
2002,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,16603.57083
2003,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,14437.29964
2004,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,14411.67022
2005,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,15312.46917
2006,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,17419.57901
2007,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,18931.2776
2008,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,18464.89394
2009,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,19816.3216
2010,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,22832.48753
2011,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,22001.75012
2012,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,21620.04663
2013,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,22818.15428
2014,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,17308.19104
2015,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,16385.91122
2016,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,10060.94842
2017,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,10518.11696
2018,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,10930.30502
2019,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,11252.59723
2020,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,11473.4684
2021,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,11650.12921
2022,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,11834.88465
2023,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,12141.90486
2024,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,12304.99067
2025,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,12586.97361
2026,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,12814.61904
2027,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,13003.01281
2028,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,13571.37542
2029,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,14101.87092
2030,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,14693.07802
2031,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,15001.99339
2032,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,15497.76706
2033,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,15717.91415
2034,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,15839.71724
2035,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,15895.87331
2036,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,15882.42359
2037,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,15854.60014
2038,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,15877.51814
2039,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,15935.53002
2040,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,16002.33768
2041,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,16171.17767
2042,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,16295.27184
2043,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,16339.02418
2044,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,16767.71553
2045,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,17210.60812
2046,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,17570.78579
2047,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,17874.43027
2048,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,18014.30206
2049,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,18100.75465
2050,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,18171.21587
2051,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,18257.38189
2052,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,18325.9731
2053,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,18337.86274
2054,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,18333.63022
2055,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,18311.85767
2056,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,18354.92761
2057,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,18267.96918
2058,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,18317.22563
2059,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,18238.97019
2060,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,18062.14337
2061,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,17966.3341
2062,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,17872.56747
2063,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,18089.41854
2064,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,18298.39884
2065,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,18451.48491
2066,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,18637.71371
2067,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,18619.71011
2068,Sebastes marinus,Ocean perch,27,Sebastes_marinus-27,600501,NA,18920.89929
1980,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,21462.4045
1981,Reinhardtius hippoglossoides,Greenland halibut,27,Reinhardtius_hippoglossoides-27,600516,Low,32154.71845
